Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
Il postino,"Biography, Comedy, Drama",0.058823529411765385,0.7361111111111112,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Massimo Troisi,Massimo Troisi,Philippe Noiret,Maria Grazia Cucinotta,Michael Radford,biography comedy drama simple italian postman learns love poetry delivering mail famous poet us woo local beauty beatrice massimo troisi michael radford
Clerks,Comedy,0.058823529411765385,0.5833333333333334,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,Lisa Spoonauer,Kevin Smith,comedy day life two convenience clerk named dante randal annoy customer discus movie play hockey store roof brian ohalloran kevin smith
Short Cuts,"Comedy, Drama",0.058823529411765385,0.7083333333333333,The day-to-day lives of several suburban Los Angeles residents.,Andie MacDowell,Julianne Moore,Tim Robbins,Bruce Davison,Robert Altman,comedy drama daytoday life several suburban los angeles resident andie macdowell robert altman
Philadelphia,Drama,0.058823529411765385,0.5277777777777778,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,Jonathan Demme,drama man hiv fired law firm condition hire homophobic small time lawyer willing advocate wrongful dismissal suit tom hank jonathan demme
The Muppet Christmas Carol,"Comedy, Drama, Family",0.058823529411765385,0.5,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,Michael Caine,Kermit the Frog,Dave Goelz,Miss Piggy,Brian Henson,comedy drama family muppet character tell version classic tale old bitter miser redemption christmas eve michael caine brian henson
Malcolm X,"Biography, Drama, History",0.058823529411765385,0.625,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",Denzel Washington,Angela Bassett,Delroy Lindo,Spike Lee,Spike Lee,biography drama history biographical epic controversial influential black nationalist leader early life career smalltime gangster ministry member nation islam denzel washington spike lee
The Last of the Mohicans,"Action, Adventure, Drama",0.058823529411765385,0.6666666666666667,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,Michael Mann,action adventure drama three trapper protect daughter british colonel midst french indian war daniel daylewis michael mann
Glengarry Glen Ross,"Crime, Drama, Mystery",0.058823529411765385,0.75,An examination of the machinations behind the scenes at a real estate office.,Al Pacino,Jack Lemmon,Alec Baldwin,Alan Arkin,James Foley,crime drama mystery examination machination behind scene real estate office al pacino james foley
A Few Good Men,"Drama, Thriller",0.058823529411765385,0.4722222222222222,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,Rob Reiner,drama thriller military lawyer lieutenant daniel kaffee defends marine accused murder contend acting order tom cruise rob reiner
Fried Green Tomatoes,Drama,0.058823529411765385,0.5,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,Mary-Louise Parker,Jon Avnet,drama housewife unhappy life befriends old lady nursing home enthralled tale tell people used know kathy bates jon avnet
Barton Fink,"Comedy, Drama, Thriller",0.058823529411765385,0.5694444444444444,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,Ethan Coen,John Turturro,John Goodman,Judy Davis,Joel Coen,comedy drama thriller renowned new york playwright enticed california write movie discovers hellish truth hollywood ethan coen joel coen
Miller's Crossing,"Crime, Drama, Thriller",0.058823529411765385,0.5277777777777778,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Ethan Coen,Gabriel Byrne,Albert Finney,John Turturro,Joel Coen,crime drama thriller tom reagan advisor prohibitionera crime bos try keep peace warring mob get caught divided loyalty ethan coen joel coen
Who Framed Roger Rabbit,"Animation, Adventure, Comedy",0.058823529411765385,0.7638888888888888,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer,Robert Zemeckis,animation adventure comedy toonhating detective cartoon rabbit hope prove innocence accused murder bob hoskins robert zemeckis
Withnail & I,"Comedy, Drama",0.058823529411765385,0.7777777777777777,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",Richard E. Grant,Paul McGann,Richard Griffiths,Ralph Brown,Bruce Robinson,comedy drama 1969 two substanceabusing unemployed actor retreat countryside holiday prof disastrous richard e grant bruce robinson
The Last Emperor,"Biography, Drama, History",0.058823529411765385,0.6666666666666667,The story of the final Emperor of China.,John Lone,Joan Chen,Peter O'Toole,Ruocheng Ying,Bernardo Bertolucci,biography drama history story final emperor china john lone bernardo bertolucci
Empire of the Sun,"Action, Drama, History",0.058823529411765385,0.4722222222222222,A young English boy struggles to survive under Japanese occupation during World War II.,Christian Bale,John Malkovich,Miranda Richardson,Nigel Havers,Steven Spielberg,action drama history young english boy struggle survive japanese occupation world war ii christian bale steven spielberg
Der Name der Rose,"Crime, Drama, Mystery",0.058823529411765385,0.36111111111111116,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,Sean Connery,Christian Slater,Helmut Qualtinger,Elya Baskin,Jean-Jacques Annaud,crime drama mystery intellectually nonconformist friar investigates series mysterious death isolated abbey sean connery jeanjacques annaud
Blue Velvet,"Drama, Mystery, Thriller",0.058823529411765385,0.6666666666666667,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern,David Lynch,drama mystery thriller discovery severed human ear found field lead young man investigation related beautiful mysterious nightclub singer group psychopathic criminal kidnapped child isabella rossellini david lynch
The Purple Rose of Cairo,"Comedy, Fantasy, Romance",0.058823529411765385,0.6527777777777777,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",Mia Farrow,Jeff Daniels,Danny Aiello,Irving Metzman,Woody Allen,comedy fantasy romance new jersey 1935 movie character walk screen real world mia farrow woody allen
After Hours,"Comedy, Crime, Drama",0.058823529411765385,0.8611111111111112,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,Griffin Dunne,Rosanna Arquette,Verna Bloom,Tommy Chong,Martin Scorsese,comedy crime drama ordinary word processor worst night life agrees visit girl soho met evening coffee shop griffin dunne martin scorsese
The Verdict,Drama,0.058823529411765385,0.6805555555555556,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,Paul Newman,Charlotte Rampling,Jack Warden,James Mason,Sidney Lumet,drama lawyer see chance salvage career selfrespect taking medical malpractice case trial rather settling paul newman sidney lumet
Star Trek II: The Wrath of Khan,"Action, Adventure, Sci-Fi",0.058823529411765385,0.5416666666666666,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,Nicholas Meyer,action adventure scifi assistance enterprise crew admiral kirk must stop old nemesis khan noonien singh using lifegenerating genesis device ultimate weapon william shatner nicholas meyer
First Blood,"Action, Adventure",0.058823529411765385,0.45833333333333337,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney,Ted Kotcheff,action adventure veteran green beret forced cruel sheriff deputy flee mountain wage escalating oneman war pursuer sylvester stallone ted kotcheff
Ordinary People,Drama,0.058823529411765385,0.8055555555555556,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Timothy Hutton,Robert Redford,drama accidental death older son affluent family deeply strain relationship among bitter mother goodnatured father guiltridden younger son donald sutherland robert redford
Airplane!,Comedy,0.058823529411765385,0.6944444444444444,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,David Zucker,Jerry Zucker,Robert Hays,Julie Hagerty,Jim Abrahams,comedy man afraid fly must ensure plane land safely pilot become sick david zucker jim abraham
Halloween,"Horror, Thriller",0.058823529411765385,0.8194444444444444,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",Donald Pleasence,Jamie Lee Curtis,Tony Moran,Nancy Kyes,John Carpenter,horror thriller fifteen year murdering sister halloween night 1963 michael myers escape mental hospital return small town haddonfield illinois kill donald pleasence john carpenter
Le locataire,"Drama, Thriller",0.058823529411765385,0.5972222222222222,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,Roman Polanski,Isabelle Adjani,Melvyn Douglas,Jo Van Fleet,Roman Polanski,drama thriller bureaucrat rent paris apartment find drawn rabbit hole dangerous paranoia roman polanski roman polanski
Blazing Saddles,"Comedy, Western",0.058823529411765385,0.625,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",Cleavon Little,Gene Wilder,Slim Pickens,Harvey Korman,Mel Brooks,comedy western order ruin western town corrupt politician appoints black sheriff promptly becomes formidable adversary cleavon little mel brook
Serpico,"Biography, Crime, Drama",0.058823529411765385,0.8194444444444444,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,Al Pacino,John Randolph,Jack Kehoe,Biff McGuire,Sidney Lumet,biography crime drama honest new york cop named frank serpico blow whistle rampant corruption force comrade turn al pacino sidney lumet
Enter the Dragon,"Action, Crime, Drama",0.058823529411765385,0.7638888888888888,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Bruce Lee,John Saxon,Jim Kelly,Ahna Capri,Robert Clouse,action crime drama secret agent come opium lord island fortress fighter martialarts tournament bruce lee robert clouse
Deliverance,"Adventure, Drama, Thriller",0.058823529411765385,0.7222222222222223,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",Jon Voight,Burt Reynolds,Ned Beatty,Ronny Cox,John Boorman,adventure drama thriller intent seeing cahulawassee river dammed turned lake outdoor fanatic lewis medlock take friend canoeing trip theyll never forget dangerous american backcountry jon voight john boorman
The French Connection,"Action, Crime, Drama",0.058823529411765385,0.9166666666666667,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco,William Friedkin,action crime drama pair nyc cop narcotic bureau stumble onto drug smuggling job french connection gene hackman william friedkin
Dirty Harry,"Action, Crime, Thriller",0.058823529411765385,0.8611111111111112,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",Clint Eastwood,Andrew Robinson,Harry Guardino,Reni Santoni,Don Siegel,action crime thriller madman calling scorpio killer menace city toughasnails san francisco police inspector dirty harry callahan assigned track ferret crazed psychopath clint eastwood siegel
The Odd Couple,Comedy,0.058823529411765385,0.8055555555555556,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",Jack Lemmon,Walter Matthau,John Fiedler,Herb Edelman,Gene Saks,comedy two friend try sharing apartment idea housekeeping lifestyle different night day jack lemmon gene saks
A Man for All Seasons,"Biography, Drama, History",0.058823529411765385,0.6111111111111112,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Paul Scofield,Wendy Hiller,Robert Shaw,Leo McKern,Fred Zinnemann,biography drama history story sir thomas stood king henry viii king rejected roman catholic church obtain divorce remarry paul scofield fred zinnemann
